shape,scale
0.779188593,0.138971056
0.776244061,0.143025572
0.782165647,0.14236372
0.778680031,0.143352919
0.780565077,0.140988195
0.784907547,0.137333841
0.798571145,0.137658488
0.786240475,0.135946098
0.788273038,0.135671767
0.788437015,0.136424773
0.794116128,0.140995884
0.773857421,0.144302386
0.779423817,0.139531895
0.778479843,0.140295427
0.792693007,0.130912904
0.803479198,0.130705639
0.803443392,0.131485727
0.802046649,0.133706557
0.788705437,0.137294252
0.792496773,0.142490543
0.773187567,0.145912602
0.771460287,0.142476427
0.779771906,0.143539194
0.772526447,0.142550553
0.775236998,0.138399894
0.786203808,0.138111476
0.78046725,0.139516424
0.787415035,0.133896656
0.798910149,0.132563278
0.800009086,0.133002424
0.800634471,0.131674372
0.799271111,0.132373725
0.792854038,0.133610382
0.784879291,0.137438696
0.792275795,0.131744717
0.795061093,0.137111225
0.788269889,0.138529609
0.795075373,0.137875063
0.79469873,0.137247218
0.801130921,0.127041163
0.799420083,0.126777134
0.814218828,0.125980119
0.812322254,0.126547411
0.807460218,0.130120603
0.804938024,0.126681199
0.82151899,0.12090244
0.824963627,0.126120608
0.800502194,0.126840666
0.811891802,0.131890697
0.795799377,0.135021622
0.786876987,0.136185601
0.792724325,0.132372746
0.783440652,0.134574446
0.77803716,0.135740152
0.781311952,0.140444883
0.779444379,0.144007637
0.784757064,0.145514913
0.781603724,0.144515923
0.782488778,0.145080749
0.78455024,0.140609106
0.785426921,0.138040015
0.793384698,0.139488584
0.789348024,0.133045746
0.807464516,0.124632991
0.816733802,0.123104287
0.813920505,0.120892245
0.834583745,0.12113489
0.833022305,0.121939325
0.828697677,0.122228544
0.810711726,0.126376613
0.815772437,0.1266278
0.825184049,0.118897039
0.823132776,0.119045056
0.828349911,0.119222982
0.833028391,0.116035475
0.832633661,0.115644803
0.821364175,0.115598366
0.830504891,0.12314677
0.814378848,0.123226685
0.816732603,0.12652167
0.809934321,0.12829492
0.808964084,0.127102582
0.806318826,0.127991569
0.808636052,0.127920772
0.796899537,0.129027244
0.793882068,0.130237644
0.812139103,0.125786052
0.813224213,0.129021142
0.797112798,0.130652893
0.813022919,0.132070361
0.80549913,0.130774811
0.795533474,0.137122271
0.794027956,0.135175017
0.801256262,0.131349511
0.800707483,0.137396701
0.779036828,0.146077181
0.76845246,0.146848872
0.766041827,0.151127218
0.766365928,0.14806585
0.771396039,0.145607954
0.776522156,0.145678385
0.7769529,0.144361653
0.772940923,0.146034134
0.773158675,0.145379339
0.766274866,0.148033768
0.768880814,0.145093593
0.772671994,0.145331119
0.773616176,0.145528795
0.780332925,0.139562262
0.775060558,0.14355505
0.773273708,0.145143819
0.776863758,0.146621092
0.771912129,0.14208824
0.777242835,0.136810452
0.78253064,0.143722303
0.774036482,0.144817857
0.770215846,0.149513766
0.768487436,0.148216974
0.770097827,0.148371947
0.768836759,0.149059122
0.770334426,0.143536694
0.77269582,0.141272339
0.780767213,0.140908079
0.774760358,0.151920782
0.768418408,0.146769154
0.762085075,0.149013185
0.764287768,0.148063367
0.78137903,0.134015864
0.784274191,0.134133966
0.799076416,0.130949275
0.803138044,0.129926631
0.801937237,0.133680947
0.802304311,0.13036183
0.815975362,0.130044921
0.804723876,0.132170679
0.803215831,0.128788962
0.790860279,0.127184096
0.803737412,0.128142227
0.811687429,0.127330138
0.81784513,0.123523019
0.820226255,0.123869661
0.815567083,0.126094166
0.812971957,0.126383578
0.81752117,0.126565244
0.799308754,0.130232686
0.806278756,0.128619319
0.813354691,0.126716478
0.813714264,0.126731468
0.809216631,0.133496802
0.814489138,0.124372065
0.81090718,0.128776075
0.815877148,0.130339806
0.811932849,0.128800685
0.801218625,0.12855444
0.803527239,0.131410501
0.80069386,0.131678832
0.810689009,0.132141121
0.79762463,0.131047564
0.797907597,0.136036942
0.799094521,0.135536145
0.7888984,0.134587045
0.804074372,0.134172317
0.797930568,0.131536349
0.797886769,0.131987107
0.798707914,0.13254309
0.800658351,0.130095286
0.801481458,0.132361843
0.805696065,0.134698022
0.796003133,0.137118557
0.798246483,0.136138715
0.794127798,0.131161976
0.801586362,0.133072926
0.801086863,0.132042338
0.801891396,0.133598472
0.807397257,0.129988326
0.804947297,0.132798204
0.805473286,0.128614056
0.807404489,0.130942601
0.802095055,0.131007194
0.801074973,0.133626059
0.800437425,0.13674864
0.787223208,0.137677538
0.790052929,0.136574937
0.786016279,0.136499017
0.790258883,0.140432681
0.776203941,0.135153374
0.809138836,0.130873705
0.810662517,0.125043598
0.815563939,0.125223785
0.815853096,0.125808546
0.815283078,0.126770458
0.811959356,0.126383013
0.811993039,0.125755732
0.809624924,0.126160793
0.817417865,0.128461688
0.796268183,0.134685449
0.793332272,0.133820088
0.795660496,0.135412795
0.78835633,0.138498762
0.778719034,0.144692199
0.776055136,0.143313508
0.771022421,0.140331027
0.78038552,0.14275613
0.784488514,0.142017008
0.776872297,0.141413229
0.787481724,0.140807819
0.799702475,0.129597314
0.803544891,0.126687453
0.80381145,0.130698398
0.795504657,0.136196647
0.79044151,0.135728708
0.796554581,0.134138154
0.803617082,0.134014783
